lga,Not stated,Inadequately described,At sea,Not elsewhere classified,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, nfd",Channel Islands,England,Isle of Man,Northern Ireland,Scotland,Wales,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faeroe Islands,Finland,Greenland,Iceland,Norway,Sweden,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Former Yugoslav Republic of Macedonia (FYROM),Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,"North Africa, nec","Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Burma (Myanmar),Cambodia,Laos,Thailand,Viet Nam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,East Timor,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan Province),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyz Republic,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,"South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Netherlands Antilles,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States","Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cape Verde,Central African Republic,Chad,Congo,"Congo, Democratic Republic of",C̫te d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tom̩ and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,R̩union,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Total
Bellingen (A),701,4,0,0,0,0,10311,0,0,168,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,7,72,18,25,0,19,3,13,98,0,0,0,55,14,0,12,0,4,0,0,3,4,0,0,0,0,0,11,5,0,0,7,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,4,4,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,6,4,16,3,0,0,0,10,14,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,43,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,12417
Berrigan (A),376,0,0,0,0,0,7104,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,151,0,14,46,8,6,0,6,0,0,29,0,0,0,45,3,0,3,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7993
Blacktown (C),18130,190,0,0,84,0,160479,0,0,6656,0,8,137,15,19,0,3,7,0,0,3,0,0,0,379,5389,3,38,1554,17,85,795,3,0,0,0,0,0,0,0,0,0,0,0,20,3,6240,3,241,1160,153,527,0,238,39,151,1166,0,3,0,705,68,0,95,0,69,0,9,22,47,0,0,0,3,0,1619,2840,264,0,177,826,14,649,32,1191,390,213,862,5,307,113,22,343,70,10,134,14,397,55,27,1184,200,60,219,0,0,4,1603,26,18,1969,3,0,0,0,20,142,808,939,86,228,106,1793,17,20,103,218,1221,87,10,17,0,549,115,51,314,918,4,17,1030,1002,16125,373,113,0,0,2458,747,17,0,133,0,116,0,1176,0,0,898,4,7256,0,134,1600,2459,3,1210,36,4,11,8,0,0,0,4,0,0,0,232,0,538,0,246,13,71,716,101,61,0,0,4,15,308,0,315,22,16,4,0,3,222,4,6,8,58,0,3,0,0,0,0,0,0,12,0,6,0,0,3,8,0,0,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,9,6,25,0,0,6,204,22,0,120,6,0,0,142,0,5,66,0,6,15,5,6,0,4,29,89,160,0,3,4,638,0,7,3,0,0,0,13,19,1337,3,17,54,33,120,0,271712
Bland (A),308,0,0,0,0,0,5550,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,3,0,4,0,8,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,6098
Blayney (A),289,0,0,0,0,0,5903,0,0,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,4,18,6,9,0,0,0,5,26,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,4,0,0,0,0,6,0,0,0,3,0,3,0,4,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,6594
Blue Mountains (C),3757,22,0,0,0,0,58080,0,0,1113,0,4,78,4,3,0,0,0,0,0,3,0,0,0,5,68,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4580,8,100,622,130,285,0,141,30,113,567,0,0,0,450,70,0,48,0,34,0,0,20,43,0,0,0,0,0,171,85,12,0,28,55,0,13,3,73,17,8,84,0,12,15,0,13,47,0,72,7,109,32,14,175,26,23,15,0,0,3,41,3,0,7,0,0,0,0,0,0,12,19,18,10,0,49,0,0,0,5,19,0,3,0,0,17,19,3,57,41,3,3,88,130,158,53,0,0,0,130,111,4,0,19,0,79,0,64,0,0,3,0,188,0,4,19,65,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,384,0,46,4,8,61,8,5,0,0,0,0,12,0,35,3,4,0,0,0,5,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,39,0,0,5,0,0,0,0,0,217,0,4,3,5,29,0,74064
Bogan (A),134,0,0,0,0,0,2657,0,0,21,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,7,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2879
Bombala (A),187,0,0,0,0,0,2169,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,69,0,0,4,0,3,0,0,0,3,21,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2538
Boorowa (A),102,0,0,0,0,0,2069,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,3,3,0,0,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292
Botany Bay (C),2865,43,0,0,0,0,18170,0,0,922,0,4,44,6,3,0,0,0,0,0,0,0,0,0,23,267,0,35,45,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,5,747,0,23,161,23,127,0,29,11,41,111,0,0,0,38,21,0,12,0,11,0,3,3,20,0,0,0,0,0,392,257,153,0,94,126,3,58,13,228,170,67,994,23,40,12,3,105,19,7,41,3,96,7,3,95,150,25,144,0,0,3,486,3,9,41,4,0,0,3,3,5,115,352,31,7,10,229,0,4,19,26,420,12,0,0,0,22,35,7,122,162,0,0,770,283,730,91,116,0,0,891,266,8,0,41,0,54,0,84,0,4,1072,0,371,0,6,116,98,0,50,7,6,9,7,0,0,0,0,0,0,0,33,0,75,0,118,11,57,378,103,88,0,0,0,3,108,0,141,9,10,0,0,3,17,0,0,11,5,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,12,0,3,0,0,0,0,6,0,0,0,5,0,22,0,0,0,30,0,0,0,0,0,0,7,0,169,0,0,0,4,9,0,35994
Bourke (A),308,3,0,0,0,0,2676,0,0,11,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,10,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3094
Brewarrina (A),149,0,0,0,0,0,1745,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1943
Broken Hill (C),1659,0,0,0,3,0,16844,0,0,84,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,3,44,7,7,0,7,0,0,38,0,0,0,22,0,0,3,0,0,0,0,4,3,0,0,0,0,0,82,37,0,0,0,17,0,0,0,18,3,0,20,0,0,0,0,3,3,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,0,0,0,3,35,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,21,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,3,11,0,19366
Burwood (A),2583,35,0,0,0,0,13076,0,0,416,0,7,55,10,0,0,0,0,0,0,0,0,0,0,9,115,0,0,13,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,3,0,393,0,23,74,9,155,0,22,9,35,99,0,0,0,26,18,0,3,0,5,0,0,3,9,0,0,0,0,0,1248,52,95,0,50,66,0,21,0,202,70,16,491,0,30,24,3,31,7,0,11,11,41,12,4,143,61,3,32,0,0,3,105,7,3,19,0,0,0,0,8,11,18,16,3,12,8,674,0,4,9,27,70,10,8,0,0,123,49,27,100,480,0,5,210,216,321,84,4,0,0,3684,636,12,9,151,0,55,0,1306,0,0,98,0,1425,0,118,43,276,0,4,0,0,0,6,0,0,0,0,0,0,0,42,0,79,0,38,6,11,66,32,3,0,0,0,0,20,0,32,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,41,0,0,0,0,0,0,4,0,53,0,0,3,3,6,0,30924
Byron (A),2620,10,0,0,0,0,21497,0,0,611,0,3,47,3,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1455,0,21,119,26,66,0,29,9,100,332,0,0,0,145,66,0,19,0,5,0,0,3,25,0,0,0,0,0,64,17,3,0,13,18,0,3,3,11,7,3,25,0,9,0,0,0,5,0,7,5,10,8,0,21,10,5,3,0,0,3,16,0,3,0,0,0,0,0,0,0,6,0,88,0,0,5,0,0,0,0,8,0,0,0,0,5,0,4,33,10,0,0,31,35,51,15,0,0,0,19,22,0,0,8,0,84,0,11,0,0,0,0,52,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,312,0,13,0,29,24,8,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,5,0,0,0,0,0,0,0,0,121,0,0,3,3,23,0,28765
Cabonne (A),591,0,0,0,0,0,11102,0,0,100,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,270,0,3,23,3,18,0,7,0,3,41,0,0,0,23,3,0,4,0,0,0,0,0,3,0,0,0,0,0,19,5,0,0,0,3,0,3,0,8,0,0,3,0,3,0,0,0,4,0,6,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,4,0,0,0,9,9,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,12396
Camden (A),2361,12,0,0,0,0,39608,0,0,505,0,3,38,3,0,0,0,0,0,0,0,0,0,0,3,135,0,3,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2152,4,103,394,74,176,0,33,7,29,215,0,0,0,128,12,0,14,0,23,0,4,3,12,0,0,0,0,0,430,224,28,0,16,92,0,12,0,130,23,30,55,0,25,23,0,44,3,0,17,3,43,5,3,71,18,4,8,0,0,0,54,4,3,5,4,0,0,0,0,3,20,40,3,5,7,145,0,0,3,3,19,3,0,0,0,3,25,41,36,40,0,0,48,56,212,32,10,0,0,237,33,0,0,15,0,11,0,24,0,0,3,0,123,0,0,24,52,0,43,3,0,0,3,0,0,0,0,0,0,0,52,0,94,0,45,6,5,134,9,7,0,0,0,0,11,0,89,0,3,0,0,4,18,0,0,3,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,4,8,0,0,0,70,0,0,0,0,0,0,3,16,175,0,3,0,7,35,0,49645
Campbelltown (C),10042,79,0,0,0,0,95545,3,0,3258,0,4,77,4,3,0,0,0,0,0,0,0,0,0,209,1997,0,16,1187,3,0,294,0,3,0,0,0,0,0,0,0,0,0,0,9,9,4991,0,231,1041,161,362,0,137,27,81,597,0,3,0,334,22,0,48,0,49,0,10,12,25,0,0,0,0,0,565,346,148,0,116,259,3,222,10,467,104,230,379,9,127,55,3,98,39,13,94,16,158,16,12,587,148,31,79,0,0,0,645,25,7,84,18,0,0,0,9,52,128,234,21,78,77,958,3,5,34,103,64,39,4,0,0,42,321,712,359,569,0,4,344,335,3053,78,90,0,0,809,243,11,0,47,0,56,0,69,0,0,1062,0,1900,0,58,421,389,0,182,4,0,0,8,5,0,0,8,0,0,0,93,0,222,0,226,30,25,835,54,31,0,0,3,0,167,0,269,18,12,0,0,8,191,0,5,7,68,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,46,0,0,0,0,0,0,22,0,0,0,0,3,3,3,0,0,0,15,31,54,0,0,3,534,0,9,0,4,0,0,17,10,926,0,13,9,8,70,0,143075
Canada Bay (A),5374,28,0,0,0,0,39689,0,0,1234,0,3,72,3,3,0,0,0,0,0,3,0,0,0,7,156,0,3,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1845,0,55,273,65,351,0,69,11,77,259,0,0,0,109,46,0,25,0,18,0,4,13,27,0,0,0,7,0,4040,158,98,0,123,115,3,22,30,177,117,29,759,0,32,44,11,32,20,7,34,7,89,16,16,157,58,26,30,0,0,0,298,4,0,23,0,0,0,0,11,8,63,23,22,12,12,416,0,0,5,19,220,11,0,0,0,49,30,18,196,315,0,4,247,383,349,183,20,0,0,1974,770,17,0,134,0,107,0,1262,0,0,33,0,687,0,29,48,235,0,7,4,0,0,3,0,0,0,0,0,0,3,129,0,239,0,77,6,48,107,41,22,0,0,0,3,76,0,63,11,8,0,0,3,12,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,5,33,0,0,3,44,0,0,4,4,0,0,0,0,315,0,10,7,7,47,0,65746
Canterbury (C),11186,131,0,0,0,0,57796,0,0,2057,0,20,89,28,6,0,0,3,0,4,0,0,0,0,394,1362,3,17,395,7,6,364,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1255,0,32,226,38,235,0,59,30,94,294,0,0,0,75,32,0,17,0,32,0,0,6,25,0,0,0,0,0,2622,243,1468,0,165,167,15,159,17,294,841,389,5735,0,138,46,16,127,30,4,30,12,175,25,18,259,73,23,47,0,0,121,1076,46,51,320,29,0,0,3,4,151,102,424,41,221,106,7202,3,10,60,397,311,35,23,0,0,274,148,52,278,4231,0,11,1626,536,1771,190,30,0,0,8712,1154,70,3,114,0,108,3,2530,0,3,2114,0,1629,0,108,966,250,0,35,3,0,3,0,0,0,0,6,0,0,0,87,0,170,0,154,9,110,243,88,102,3,0,16,3,162,0,142,26,5,0,0,6,18,0,3,15,6,4,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,0,0,0,3,159,5,3,6,0,0,0,70,0,21,153,0,0,16,0,0,0,3,8,137,23,0,0,5,344,0,8,0,3,0,0,4,94,200,0,14,11,10,65,0,129962
