lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfu/Darfurian,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi (Ma'di),Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
Serpentine-Jarrahdale (S),7,0,4430,5,0,0,0,84,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8285,675,73,0,0,0,637,0,12,642,0,33,261,14,5,0,0,0,4,22,15,4,7,0,0,0,0,0,0,458,12,17,9,0,0,11,0,3,0,23,9,3,0,0,12,0,8,3,0,0,0,0,0,5,7,3,3,3,40,7,7,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,11,0,0,0,15,6,0,0,0,0,0,0,29,12,0,0,8,0,0,0,0,0,0,3,0,0,0,0,82,0,0,0,5,3,0,0,0,0,0,14,0,0,0,38,0,0,3,3,5,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,12,0,0,0,5,0,82,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,5,10,16,0,0,1224
Shark Bay (S),0,0,278,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,19,0,0,0,0,51,0,0,22,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
South Perth (C),3,0,7269,32,0,0,0,47,184,0,0,0,9,4,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,4,19,13873,1649,128,3,0,0,2149,0,42,370,0,168,581,53,20,0,0,0,4,33,18,3,39,31,0,3,0,0,0,1469,28,74,85,3,0,27,3,30,23,167,222,48,0,0,17,0,53,10,11,0,0,3,0,22,7,67,23,7,262,89,21,22,0,0,10,135,9,41,41,11,0,47,19,0,19,15,6,0,5,0,0,3,0,0,10,0,0,0,0,0,3,12,0,0,0,0,286,11,67,0,0,0,0,3,0,0,5,82,0,16,0,120,153,0,0,3,0,0,0,217,278,5,0,148,0,3,0,0,3,0,43,0,8,0,0,3219,10,0,0,201,260,14,0,0,0,28,49,9,4,0,888,9,17,70,10,3,24,15,9,26,4,0,0,0,109,13,0,9,4,7,0,38,3,0,0,0,0,0,0,0,0,4,0,0,0,7,3,3,71,56,4,3,3,0,0,9,7,0,41,44,35,4,0,16,0,21,0,0,0,16,0,7,0,0,0,3,0,0,3,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,4,8,0,3,0,0,52,37,0,93,0,0,0,6,124,270,9,4,10,71,0,4,0,0,0,4,3,5,0,0,0,0,5,0,0,0,42,42,28,69,12,0,0,2995
Stirling (C),30,5,33109,148,0,0,0,638,940,0,0,0,20,0,0,0,3,0,0,3,29,31,4,61,16,0,0,5,0,3,3,74,59480,6521,516,10,8,3,9883,0,176,1650,3,534,2889,194,70,3,0,0,13,160,78,3,75,143,0,51,0,0,3,14974,170,338,445,0,0,307,81,523,94,1639,2462,3146,3,57,284,13,936,76,31,0,0,34,12,129,51,328,114,102,1474,427,51,224,0,5,38,348,7,168,472,25,3,185,0,19,94,13,33,0,7,0,0,0,0,0,598,46,0,0,39,14,228,915,3,0,0,6,680,201,142,16,3,0,3,159,3,0,69,821,0,92,32,413,3148,247,0,211,0,20,0,1277,422,3,0,383,0,69,0,3,3,3,75,0,47,0,0,7578,37,0,0,580,336,13,5,0,0,101,314,43,4,27,4959,29,131,282,63,50,74,12,86,81,7,6,0,3,477,19,6,48,35,12,0,383,37,0,3,0,0,10,90,4,7,0,3,3,0,46,4,10,324,240,9,48,8,0,0,33,41,0,203,136,114,3,3,59,14,32,0,0,0,36,0,93,0,0,0,4,8,3,3,4,3,7,3,5,16,0,10,46,33,10,0,82,67,5,0,140,0,0,5,3,0,0,10,45,9,44,0,258,285,161,18,375,0,6,63,51,366,1745,13,8,216,178,6,0,0,8,20,4,8,95,0,4,0,35,10,6,0,56,209,134,99,740,109,0,11,14491
Subiaco (C),0,0,2921,3,0,0,0,16,65,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6434,719,59,0,0,0,1111,0,15,144,0,113,330,44,5,0,0,0,3,15,9,0,29,22,0,3,0,0,0,443,10,27,51,0,0,12,0,12,11,64,114,14,0,0,5,0,41,5,3,0,0,3,0,6,0,34,15,3,115,39,6,19,0,0,3,52,0,15,6,8,0,7,4,0,3,16,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,67,0,16,0,0,0,0,11,0,0,0,26,0,5,0,49,69,0,0,0,0,0,0,76,84,4,0,104,0,7,0,5,3,0,11,0,3,0,0,1313,6,0,0,99,39,0,0,0,0,3,6,7,0,0,308,4,18,34,7,4,21,0,52,0,0,0,0,0,35,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,6,0,6,64,37,3,0,0,0,0,7,13,0,11,6,20,0,0,13,0,7,0,0,0,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,17,0,4,0,0,12,110,0,0,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,11,16,10,3,0,1258
Swan (C),15,0,23405,191,0,3,0,864,643,0,0,0,9,0,0,0,0,0,0,3,47,15,16,48,25,5,0,3,0,0,7,28,39365,4146,283,0,0,0,4025,0,63,1014,0,243,1581,63,27,3,0,0,3,63,37,0,39,31,0,19,0,0,0,4596,192,223,175,3,0,139,76,325,16,946,355,352,0,3,146,12,421,26,20,0,0,9,6,43,7,143,37,22,803,92,11,139,0,0,14,228,3,54,345,5,19,131,0,5,23,0,22,4,0,0,0,0,0,4,26,11,0,0,9,0,90,252,0,0,0,0,141,48,29,11,0,0,0,20,4,0,37,455,0,179,44,217,2003,67,0,17,0,18,0,1190,151,13,0,311,0,23,0,0,0,3,53,0,16,0,0,2445,8,0,0,87,63,4,0,0,0,36,443,9,4,3,1719,7,15,84,28,27,72,0,17,3,9,0,0,0,209,13,0,46,0,0,0,223,4,0,0,0,0,5,78,0,0,0,0,0,0,14,3,21,133,57,0,20,6,0,0,3,26,3,28,40,23,0,5,15,4,0,0,0,4,8,4,39,0,0,3,0,5,0,10,4,0,0,3,0,0,3,0,0,10,5,0,17,17,0,0,31,0,0,0,0,0,0,0,0,0,77,0,31,85,35,3,271,0,3,0,30,119,836,4,9,11,156,3,0,0,0,0,0,6,21,0,0,0,4,11,0,0,11,117,83,52,310,43,0,0,7901
Tammin (S),0,0,148,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,7,0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Three Springs (S),0,0,188,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,22,0,0,0,0,16,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50
Toodyay (S),3,0,1160,0,0,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1955,208,19,0,0,0,224,0,5,72,0,6,94,3,0,0,0,0,0,4,3,3,0,3,0,0,0,0,0,77,5,0,8,0,0,0,0,0,0,5,8,0,0,0,0,0,3,0,0,0,0,3,3,0,0,5,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,348
Trayning (S),0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,17,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Upper Gascoyne (S),0,0,39,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Victoria Park (T),3,0,5204,43,0,0,0,97,177,3,0,0,24,0,0,0,0,0,0,0,4,4,3,12,7,0,3,0,0,0,0,5,9760,1215,81,0,0,0,1590,0,25,323,0,100,509,37,11,0,0,0,8,21,21,0,18,25,0,3,0,0,0,1338,33,41,59,0,0,26,4,15,0,74,90,29,0,4,35,9,39,7,3,0,0,4,0,12,10,34,12,12,176,65,9,33,0,0,7,111,0,19,38,19,0,29,33,0,20,24,0,0,4,0,0,13,0,0,7,3,0,0,0,0,7,4,0,0,0,0,141,10,67,0,0,0,0,3,3,0,13,117,0,19,3,108,172,13,0,0,0,0,0,263,330,11,0,198,0,5,0,0,0,0,25,0,15,0,0,2319,9,0,0,156,305,19,0,0,0,38,69,6,0,0,1302,16,113,132,17,6,47,8,30,0,6,3,0,0,157,11,0,13,3,0,0,140,5,0,0,4,5,0,20,3,0,0,0,3,0,4,0,0,37,21,0,3,5,0,0,3,4,0,39,20,20,5,0,13,0,5,0,3,0,3,0,9,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,8,3,0,0,0,13,0,0,10,0,0,0,0,0,0,0,4,0,13,0,9,32,39,8,113,4,0,3,11,76,112,8,4,15,55,0,0,0,0,4,0,0,6,0,0,0,0,5,0,0,4,41,37,68,135,11,0,0,3058
Victoria Plains (S),0,0,279,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,37,0,0,0,0,50,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
Vincent (T),3,0,4804,16,3,0,0,46,157,0,0,0,8,0,0,0,0,0,0,0,3,12,0,12,10,0,0,0,0,0,0,9,9628,1213,91,0,0,0,2340,0,43,297,3,153,561,25,19,0,0,0,4,32,14,3,34,32,0,5,0,0,0,2842,38,58,81,0,0,38,9,33,15,156,548,314,0,18,12,5,108,17,3,0,0,6,0,24,18,23,15,14,225,49,9,42,0,0,9,19,0,24,13,4,0,27,0,7,0,5,5,0,0,0,0,0,0,0,26,0,0,0,3,0,0,6,0,0,0,0,101,3,14,0,0,0,0,16,0,0,12,81,0,10,0,101,546,0,0,0,0,0,0,116,40,3,0,47,0,3,0,0,0,0,14,0,0,0,0,1401,16,0,0,149,199,3,0,0,0,8,46,3,3,0,402,4,115,19,8,3,12,0,20,0,3,0,0,0,52,0,0,5,0,0,0,7,11,0,0,0,3,3,0,0,0,0,0,0,0,4,0,3,81,55,6,4,4,0,0,7,9,0,71,18,60,0,0,9,0,3,0,0,0,10,0,3,0,0,0,0,3,0,3,3,0,3,3,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,4,5,0,17,13,13,0,60,0,0,0,3,13,124,0,0,10,11,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,40,15,12,52,17,0,0,2706
Wagin (S),0,0,547,0,0,0,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,97,0,0,0,0,64,0,0,17,0,0,36,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
Wandering (S),0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,34,0,0,0,0,15,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Wanneroo (C),10,9,26859,116,3,3,0,1358,907,0,0,3,26,0,0,0,0,0,0,5,100,13,13,54,26,0,0,3,0,0,5,58,60310,6613,788,14,15,0,6150,0,73,1395,0,312,2091,118,44,0,3,0,7,103,40,4,28,65,0,40,0,8,0,5403,194,264,400,0,0,146,44,256,25,705,616,1605,0,3,597,3,601,41,34,0,0,9,0,81,7,248,43,18,807,165,46,83,0,0,16,189,3,209,231,19,8,163,0,5,22,0,20,0,0,0,0,0,0,5,18,30,0,0,67,3,239,593,10,0,0,13,240,91,30,33,3,0,10,13,0,0,67,668,0,250,45,253,3447,214,18,34,0,14,0,1106,255,3,0,365,0,19,0,4,0,5,88,0,17,0,0,2475,21,0,0,101,110,0,7,0,0,79,262,14,0,19,2483,12,24,97,22,58,27,3,33,0,0,0,0,0,137,5,0,17,7,21,0,561,26,0,5,0,0,0,67,0,0,0,0,0,0,34,3,12,138,84,0,15,9,6,0,32,22,0,38,108,34,3,5,43,9,10,0,0,0,15,3,158,3,0,0,0,21,0,13,4,0,0,0,0,0,0,0,13,6,3,0,60,31,0,0,59,0,0,0,0,10,0,0,34,8,176,0,114,188,49,0,329,0,5,52,27,149,2446,5,22,37,257,0,0,0,0,11,0,0,98,0,8,0,11,27,3,0,17,140,84,57,460,68,0,0,10089
Waroona (S),0,0,897,4,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1605,147,9,0,0,0,155,0,3,30,0,4,56,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,190
